buffer/size,evaluation/Success Rate,evaluation/Episode length Mean,evaluation/Episode length Min,evaluation/Episode counts,evaluation/Total Reward Mean,evaluation/Total Reward Max,iteration,time/bsrl evaluation (s),time/bsrl learning (s),time/evaluate historic trajectories (s),time/sampled historic trajectories (s),time/sampled new trajectories (s),time/training batch (s),time/iteration (s),time/total (s),exploration/epsilon
0,1.0,165.5,1,10,-9.270026855915784,10.0,0,410.4676532484591,631.6862215511501,1.0514631867408752e-06,0.00018082093447446823,170.54856515768915,0.0005160532891750336,1212.7031378829852,1214.5405447259545,0.855
0,1.0,10.2,1,10,12.17000778093934,102.40007781982422,1,25.24546235240996,766.1067861896008,1.1119991540908813e-06,0.00019759126007556915,12438.33731399756,0.0036810729652643204,13229.693442315795,14444.23874517344,0.7695
0,1.0,10.8,1,10,12.080005,121.70004,2,26.675136690028012,8.54308023210615,1.0421499609947205e-06,0.0001833466812968254,1306.3405293207616,0.0015016328543424606,1341.5604322645813,15785.802016312256,0.69255
0,1.0,11.3,1,10,16.04001037478447,151.20010375976562,3,27.953956821002066,4.294506514444947,9.816139936447144e-07,0.00024059414863586426,867.7209221106023,0.00028786342591047287,899.9699148852378,16685.77467405144,0.623295
0,1.0,11.0,1,10,17.11000854447484,141.40008544921875,4,27.35614486783743,5.075575892813504,7.115304470062256e-07,0.0001545315608382225,959.9484314331785,0.00021406449377536774,992.3805215014145,17678.157877920195,0.5609655
0,1.0,14.4,1,10,12.730015,128.20015,5,35.64705587178469,3.50269007217139,8.102506399154663e-07,0.00012886244803667068,779.2770051164553,0.00022524502128362656,818.4271059781313,18496.58755126968,0.50486895
0,1.0,8.6,1,10,16.310007017850875,153.9000701904297,6,21.449215300381184,2.645854582078755,9.220093488693237e-07,0.0002277204766869545,637.9989068545401,0.0003062179312109947,662.0945115974173,19158.684860252775,0.454382055
0,1.0,18.3,1,10,7.3799973,74.69997,7,45.243307024240494,2.27281157951802,8.614733815193176e-07,0.0002143746241927147,555.0000838935375,0.0002421066164970398,602.5166598400101,19761.204262732528,0.4089438495
0,1.0,24.2,1,10,11.78002044558525,108.60020446777344,8,58.17438600026071,1.6438263291493058,8.316710591316223e-07,0.0001677265390753746,411.4949383903295,0.00018422678112983704,471.31350350473076,20232.520500583574,0.36804946455000004
0,1.0,9.6,1,10,14.280007323622703,153.2000732421875,9,22.977403873577714,1.7707913713529706,8.922070264816284e-07,0.00012521632015705109,458.3944010203704,0.00021499581634998322,483.14293736964464,20715.666522049345,0.33124451809500005
